Accessories,Body Color,Body Material,Body Type,Brand,Bundle Description,Color,Condition,Country of Manufacture,Country/Region of Manufacture,Custom Bundle,Dexterity,Features,Fingerboard,Hand,Items Included,MPN,Model,Model Year,Modification Description,Modified Item,Neck,Non-Domestic Product,Pickup,Product Line,Product Type,Right-/ Left-Handed,Serial Number,Series,Size,Soundboard Style,String Configuration,Style,Type,UPC,serial number,Price
,Blue,Alder,Solid,Yamaha,,,Used,,Japan,No,,,,,,,Stratocaster HSS,1988,,,,,,Yamaha MG iii,,Right-Handed,,,Full Size,,6 String,,,,,320.0
,Brown,,Solid,Ibanez,,,Used,,China,No,Right-Handed,With Pickup,,,see descriptive text,SA Series,SA Series SA130,as per serial no.,,No,,No,,Ibanez RG,,,,,,,6 String,,,,,150.0
,Black,,les paul,Epiphone,,,Used,,,,,"Volume Knob, 3 was selector switch, tone, two piece bridge, dual humbuckers",,,,Does Not Apply,les paul special II,,,,,,,Epiphone Les Paul,,,,,Full Size,Flat Top,6 String,,,Does not apply,,77.0
,Ice Tea Burst,,Solid,Gibson,,,Used,,United States,,,,,,,Does Not Apply,Les Paul Standard,2019,,,,,,Gibson Les Paul,,Right-Handed,,,,,6 String,,,Does not apply,,1950.0
,Brown,,Solid,B.C. Rich,,,Used,,,,,Triple humbucker pickups and locking tuners.,,,,,Mockingbird Pro X,,,,,,,B.C. Rich,,Right-Handed,,,Full Size,,6 String,,,,,350.0
,Pink,Alder,Solid,Fender,,,New,,Japan,,,,,,,Does Not Apply,Hybrid 60 Reissue,2019,,,,,,Fender Stratocaster,,Left-Handed,,,,,6 String,,,Does not apply,,700.0
,Flame Trampas Green,,Solid,PRS,,,,,,,,,,,,104147:CC:MC5-E4M4FNMTIBT_NSN (CC)_TGSWB,24,,,,,,,,,,,,,,6 String,,,,,1399.0
,Blue,,Solid,Fender,,,Used,,Mexico,Yes,,,,,,Does Not Apply,Classic,1995,,,,,,Fender Stratocaster,,,,American Standard,,,6 String,,,,,270.0
,,,,Gibson,,,Used,,,,,,,,,Does Not Apply,,2015,,,,,,Gibson Les Paul,,Right-Handed,,,,,6 String,,,Does not apply,,1449.0
,,,,GIBSON,,,Used,,,No,Right-Handed,,,,,Does Not Apply,ES-347,1988,,No,,No,,,,,,,,,6 String,,,Does not apply,,2600.0
,Surf Green,,Headless,Kiesel,,,Used,,,,,,,,,Vader V8,Vader V8,,,,,,,,,,,,,,8 String,,,Does not apply,,1299.99
,Black,,Solid,Epiphone,,,Used,,China,,,,,,,,Les Paul Standard,2013,"EMG PICKUPS, Knurled Black Knobs",Yes,,,,Epiphone Les Paul,,Right-Handed,,,Full Size,,6 String,,,,,220.0
,Pink,Rosewood,,Unbranded,,,New,,China,,,,,,,Does Not Apply,,,,,,,,,,,,,,,6 String,,,Does not apply,,29.99
,Faded Cherry Sunburst,Mahogany,Solid,Epiphone,,,Used,,,,,Phase Push Pull,,,,Does Not Apply,Plus,,,,,,,Epiphone Les Paul 1960 Tribute,,Right-Handed,,,,,6 String,,,,,380.0
,Red & White,,Solid,Fender,,,Used,,,,,,,,,Does Not Apply,Squier,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,Does Not Apply,,72.0
Soft Case,Clear,Solid Wood,Solid,Rickenbacker,,,Used,,United States,,Right-Handed,,,,,Does not apply,650C,2013,,,,,passive,,,Right-Handed,,,Full Size,,6 String,,,,,1350.0
,Tobacco Burst,"Mahogany/Maple Top, Mahogany",Single Cut Les Paul,Gibson,,,Used,,,,,2 Humbuckers with Coil Tap,,,,,Les Paul Custom 25/50 Anniversary Model,1979,,,,,,Gibson Les Paul Custom 25/50 Anniversary,,,,,,Carved Maple Top,6 String,,,,,3199.0
,Salmon Red Pearl,,Solid,Charvel,,,Used,,,,,,,,,,Fusion Deluxe,1990,,,,,,,,Right-Handed,,,,,6 String,,,,,475.0
,Polaris White,Mahogany,Solid,Gibson,,,Used,,United States,,,,,,,,SG Standard,1984,,,,,,Gibson SG,,Right-Handed,,,Full Size,Flat Top,6 String,,,,,999.99
,Black,"Alder, Maple",Solid,Fender,,,,,Mexico,,Right-Handed,,,,,Does Not Apply,Stratocaster Delux,2019,,,,,,Fender Stratocaster,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,575.0
,Sonic Blue,,Solid,Fender,,,Used,,Mexico,,,,,,,Does Not Apply,Classic Player '60s Stratocaster®,,,No,,,,Fender Stratocaster,,Right-Handed,,,,,6 String,,,,,699.0
,Amber w/red trim,Mahogany,Solid,PRS,,,,,United States,,,"Mahogany body, maple top, bolt on neck, Rosewood fretboard, locking tuners, Volume Knob",,,,Does Not Apply,CE 24,2017,,No,,,,PRS Core CE series,,Right-Handed,,,Full Size,Archtop,6 String,,,Does not apply,,1495.0
,Starburst,Rosewood Neck,Starburst - Double Cutaway,Fender,,,Used,,China,,,3 Pickups,,,,CAP-0050602515,STARCASTER - CHINA,2012,,No,,,,Fender Starcaster,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,149.95
,Black,,Solid,Squier by Fender,,,Used,,Indonesia,,,,,,,Does Not Apply,Affinity Stratocaster Strat,,,,,,,,,Right-Handed,,,Full Size,Flat Top,6 String,,,Does not apply,,67.0
,Black,,,Fender,,,Used,,United States,,,,,,,Does Not Apply,Squier by Fender,1988,,,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,450.0
,Cherry Sunburst,"Mahogany, Maple",Solid,PRS,,,Used,,United States,No,,First Year,,,,Does not apply,Artist,1991,,No,,,,Artist,,Right-Handed,,,Full Size,Carved,6 String,,,Does not apply,,4499.95
,Dark Cranberry Red,Poplar,Solid,Jackson,,,Used,,United States,,,,,,,Does Not Apply,SL1 Soloist,1997,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,1799.99
,,,,Unbranded,,,New,,China,,,,,,,Does Not Apply,,,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,85.33
,,Maple,Semi-Hollow Body,Squier,,,New,,,,Right-Handed,,,,,037-4070-521,,,,,,,,,,,,,,,,,,885978064540,,449.99
,Transparent Red,Poplar with Quilt Maple Top,Solid,Jackson,,,New,,China,,,,,,,2910127590,Dinky Arch Top JS32TQ DKA,,,,,,,Jackson Pro Series,,Right-Handed,,,Full Size,Archtop,6 String,,,00885978337163,,269.99
,Vintage Blonde,,Solid,Squier,,,New,,China,,Right-Handed,,Maple,,,0303025507,Classic Vibe Telecaster 50's,2019,,,,,,,Electric Guitar,Right-Handed,,,,,6-String,Telecaster,,717669657680,,399.99
,,,,Fender,,,Used,,,,,,,,,,Stratocaster,,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,349.99
,Red Sunburst,,Hollow,Ibanez,,,Used,,,,,,,,,AF75-TRS-12-06,AF75-TRS-12-06,,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,299.96
,Black,,Solid,Epiphone,,,Used,,,,,,,,,,SG,,,,,,,,,Left-Handed,,,,,6 String,,,Does not apply,,149.99
,,Maple,,Vintage,,,New,,,,,,,,,Does Not Apply,Vintage,,,,,,,,,,,,,,6 String,,,Does not apply,,549.99
,Satin Black,,Solid,Schecter,,,Used,,,No,Right-Handed,,,,,433,C-6 Deluxe LH,,,No,,No,,,,Left-Handed,,,,,6 String,,,does not apply,,279.0
,matte black w/ monster logo,,Solid,Schecter,,,New,,,,,,,,,,PT,,,,,,,Schecter,,Right-Handed,,,Full Size,,6 String,,,,,250.0
,,,Solid,Ibanez,,,Used,,,,,,,,,,RG3EX1,,,,,,,Ibanez RG,,Right-Handed,,,,,6 String,,,Does not apply,,169.99
,GREEN,,,Squier,,,Used,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,6 String,,,Does not apply,,79.95
,,Solid Wood,Solid,Huntington,,,New,,China,No,,,,,,GE149-RWB,GE149,,,No,,No,,,,Right-Handed,,,Full Size,,6 String,T STYLE,Electric Guitar,Does not apply,,89.95
,,,,,,,Used,,,,,,,,,,,,,,,,,,,,,,,,,,,799493269147,,1999.0
,Pink,,Solid,PEVEY,,,Used,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,6 String,,,Does not apply,,80.99
,Sunburst,,Sunburst,Ion,,,Used,,,,,,,,,,,,,,,,,,,,,,,,6 String,,,,,55.0
,White,Ash,Solid,Fender,,,Used,,,,,,,,,,Classic,,,,,,,,,,,,,,6 String,,,,,495.0
,,,,Seagull,,,Used,,,,,,,,,Does Not Apply,S6,,,,,,,,,Right-Handed,,,,,6 String,,,Does Not Apply,,359.99
,Blue,,Solid,Squier by Fender,,,Used,,China,,,With Pickup,,,,,Stagemaster,2000,,,,,,,,Right-Handed,,,Full Size,,7 String,,,,,300.0
,Yellow,,Solid,Fender,,,Used,,,,,,,,,,,2005,,,,,,American Standard,,Right-Handed,,,Full Size,,6 String,,,,,520.0
,,,Solid,Hondo,,,,,,,,,,,,Does Not Apply,Vintage,,,,,,,,,,,,,,6 String,,,Does not apply,,159.99
,Orange,,Semi-Hollow,Gretsch,,,Used,,,,,,,,,,,,,No,,,,,,,,,,,6 String,,,,,1400.0
,,,,Ibanez,,,Used,,Indonesia,,,,,,,,,2013,,,,,,Ibanez RG7421,,,,,,,7 String,,,,,230.0
,Black,Mahogany,Semi-Hollow,Gretsch,,,Used,,,,,,,,,Does Not Apply,Pro Jet,2018,,,,,,Gretsch Electromatic,,Right-Handed,,,Full Size,Archtop,6 String,,,,,425.0
,,,,Esteban,,,Used,,,,,,,,,,,,,,,,,,,Right-Handed,,,,,6 String,,,,,200.0
,Orange,,Hollow,Gretsch,,,New,,,,,,,,,Does Not Apply,g5420t,2019,,,,,,Gretsch Electromatic G5420,,,,,,,6 String,,,Does not apply,,674.99
,,Ash,Solid,Fender,,,Used,,United States,,,"Volume Knob, With Pickup",,,,,Vintage,2006,,,,,,Fender Telecaster,,Right-Handed,,,Full Size,Flat Top,6 String,,,,,1000.0
,,,,Washburn,,,Used,,,,,,,,,Does Not Apply,WASHBURN NUNO BETTENCOURT,,,,,,,,,,,,,,6 String,,,Does not apply,,160.0
,Walnut,,Hollow,Gretsch,,,Used,,Japan,,,,,,,2401235892,G6122T-62 Vintage Select Edition '62 Chet Atkins®,2018,,,,,,Professional Collection,,,,,,,6 String,,,Does not apply,,2500.0
,Black,Alder,Solid,Fender,,,New,,Mexico,,,"Volume Knob, With Pickup",,,,,Fender Kenny Wayne Shepherd Stratocaster,2009,,,,,,Fender Stratocaster,,Right-Handed,,,,,6 String,,,,,995.0
,Blackcherry,,Solid,Schecter,,,Used,,"Korea, Republic of",,,,,,,,XXX Custom,2005,,,,,,,,Right-Handed,,,,,6 String,,,,,499.0
,3-color sunburst,Alder,Solid,Fender,,,Used,,United States,,,,,,,,1997 stratocaster collectors' Edition,1997,,,,,,Fender Stratocaster,,Right-Handed,,,,,6 String,,,,,1250.0
,VIntage Sunburst,,Semi-Hollow,Epiphone,,,,,,,,,,,,ETDTVSCH1,Vintage,,,,,,,,,,,,,Archtop,6 String,,,,,175.5
,Clear,Alder / Quilt (AAA) Maple Top,Solid,Fender,,,New,,United States,,,,,,,,Custom Deluxe,2013,,No,,,,Fender Stratocaster,,Right-Handed,,,Full Size,,6 String,,,,,2000.0
,Black Blue lightning,,Solid,Dean,,,Used,,,,,,,,,DIME RAZORBACK,Razorback V,,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,399.99
,Honey Burst,Alder,Solid,Fender,,,New,,United States,,,,,,,Does Not Apply,Performer,2019,,,,,,Fender Stratocaster,,Left-Handed,,,,,6 String,,,Does not apply,,720.0
,Natural,Cedar and Okoume,Solid,PRS,,,Used,,,,,,,,,,SE Clint Lowery Signature Model,2016,,,,,,,,,,,,,6 String,,,,,499.0
,,,,Laguna,,,Used,,,,,With Pickup,,,,,LE200,,,,,,,,,Right-Handed,,,,,6 String,,,,,140.0
,Red,,Solid,Epiphone,,,Used,,,,,,,,,,Flying V,,,,,,,,,,,,,,6 String,,,Does not apply,,51.0
,Black,Basswood,Solid,Fender,,,Used,,,,,,,,,Telecaster,James Burton Telecaster,,,,,,,Fender Telecaster,,,,,,,6 String,,,,,1189.0
,,,Solid,Unbranded Custom Build,,,New,,,,Right-Handed,,,,,,Custom,,,,,,,,,,,,,,6 String,Telecaster,,,,50.0
,Candy Apple Red,Alder,,Fender,,,Used,,,,,Suhr Pickups,,,,,Stratocaster Delux,,,,,,,Fender Stratocaster,,Right-Handed,,,,,6 String,,,,,750.0
,Worn EBony,Solid Wood,Solid,Gibson,,,Used,,United States,,Right-Handed,,,,,,Les Paul BFG,2018,,,,,,Gibson Les Paul,,,,,,,6 String,,,,,899.0
,Candy Apple Red,,Solid,Fender,,,Used,,Mexico,No,,,,,,Does Not Apply,Classic Player Jaguar Special,2017,,No,,No,,Fender Jaguar,,Right-Handed,,,,,6 String,,,Does not apply,,650.0
,Blue / Purple,Mahogany and Maple,S Sabre,Ibanez,,,Used,,Japan,,,Low Pro Edge.,,,,,540 S QM,1997,,,,,,Ibanez 540 SQM,,,,,,,6 String,,,,,425.0
,Red,,Solid,Hadean,,,Used,,,,,,,,,,Tele,,,,,,,,,Right-Handed,,,Full Size,Flat Top,6 String,,,,,69.95
,Olympic White,Alder,Solid,Fender,"Comes with original Hard Case, strap, quarter inch cable, and vintage tremolo bar.",,,,United States,Yes,,"Pickup Switch 4 settings, tone knob, Volume Knob, With Pickup",,,,FEN 0116400 705,Johnny Marr Jaguar,2012,,No,Maple,,,Fender Jaguar,,Right-Handed,,,Full Size,,6 String,,,,,1125.0
,Multicolor,,Solid,Fender,,,Used,,United States,,,,,,,Does Not Apply,HM STRAT,,,No,,,,Fender Stratocaster,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,999.99
,Red,Basswood,Solid,Rogue,,,,,,,,"Single humbucking pickup, Volume Knob",,,,,,,,,,,,,,Right-Handed,,,"23-1/4"" scale",,"6 String: G(10/25w), C(16/16), e(12/12)",,,Does not apply,,179.0
,Brown,,Solid,Fender USA,,,Used,,United States,,,,,,,Does Not Apply,Stratocaster HSS,,,,,,,Fender Stratocaster,,Right-Handed,,,,,6 String,,,Does not apply,,760.0
,Blue Silverburst,"Solid Wood, Mahogany, Maple",Solid,Gibson,,,Used,,United States,,Right-Handed,,,,,Does Not Apply,Les Paul Robot Guitar,2007,,,,,,,,Right-Handed,,,Full Size,,6 String,,,,,1299.99
,Brown,,Solid,Peavey,,,Used,,,,,,,,,Does Not Apply,T-15,1981,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,346.95
,White Black,,,Harmony,,,Used,,,,,,,,,Does Not Apply,Vintage,,,,,,,,,,,,,,6 String,,,,,79.99
,,,,Glarry,,,New,,China,,Right-Handed,,,,,Does Not Apply,,,,,,,,,,,,,,,6 String,,,Does not apply,,59.97
,,,,Glarry,,,New,,China,,Right-Handed,,,,,Does Not Apply,,,,,,,,,,,,,,,6 String,,,Does not apply,,53.99
,Autumn Burst,Solid Wood,Solid,Paul Reed Smith,,,,,United States,,Right-Handed,,,,,Does Not Apply,CE-24,2017,,,,,,,,,,,,,6 String,,,Does not apply,,1699.0
,Blue,,Solid,ESP,,,Used,,"Korea, Republic of",,,,,,,,h-201,,,,,,,ESP LTD,,Right-Handed,,,Full Size,,6 String,,,,,179.95
,2-color sunburst,Ash,Solid,Fender,,,Used,,United States,,,,,,,,,1998,,,,,,Fender Telecaster,,Right-Handed,,,,,6 String,,,,,1125.0
,Cherry,"Solid Wood, Mahogany",Solid,Gibson,,,Used,USA,United States,,Right-Handed,,,,,,Angus Young Signature BadBoy,2004,,,,,,Gibson SG,,Right-Handed,,,,,6 String,,,,,1489.0
,Cherry Red Sunburst,,Solid with Set Neck  Design,Schecter,,,Used,,Unknown,,,Volume Knob,,,,Does Not Apply,Hellraiser C-1 FR,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,,,214.0
,,,,Ibanez,,,Used,,,,,,,,,,Les Paul Junior,,,,,,,Epiphone Les Paul,,,,,,,,,,,,130.0
,Black,,,Fender,,,Used,,Mexico,,,,Rosewood,,,Does Not Apply,Stratocaster FSR Standard,2006,,No,,,,Fender Standard Stratocaster,,Right-Handed,,,,,6 String,,,Does not apply,,299.99
,Blue,Alder,Solid,Fender,,,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or 

																			protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,,,,,,,,,S-1,2017,,,,,,Fender Stratocaster,,Right-Handed,,,,,6 String,,,,,1260.0
,Sky Blue,,,Unbranded,,,New,,,,Right-Handed,,,,,Does Not Apply,,,,,,,,,,,,,,,6 String,,,Does not apply,,54.99
,Sunburst,,,SX,,,Used,,,,,,,,,Does Not Apply,Vintage Series,,,,,,,Vintage Series,,Left-Handed,,,,,6 String,,,,,89.99
,Black,,,Ovation,,,Used,,,,Right-Handed,,,,,Does Not Apply,1868,,,,,,,Elite,,Right-Handed,,Elite,,,6 String,,,Does not apply,,699.0
,Black,,Semi-Hollow,Epiphone,,,Used,,"Korea, Republic of",,,,,,,Does Not Apply,Sheraton-II,,,,,,,,,Right-Handed,,,Full Size,Rosewood,6 String,,,Does not apply,,409.0
,Blue,,,ESP,,,Used,,,,,,,,,H-51,H-51,,,,,,,ESP LTD,,,,,,,6 String,,,Does not apply,,118.7
,Red,,Solid,Epiphone By Gibson,,,Used,,,,,,,,,Does Not Apply,S Series,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,124.99
,Santana Yellow,Mahogany / Maple / Rosewood,Solid,PRS,,,"Seller refurbished: An item that has been restored to working order by the eBay seller or a third party not approved by 

																			the manufacturer. This means the item has been inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See the seller’s listing for full details.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,"Korea, Republic of",Yes,,Volume Knob,,,,Does Not Apply,Santana SE,2018,,Yes,,,,,,Right-Handed,,,"24.5""",Archtop,6 String,,,Does not apply,,575.0
,,Rosewood,Jumbo,Guild,,,Used,,,,,,,,,F-150CE,F-150CE,,,,,,,,,,,The Westerly Collection,,,6 String,,,Does not apply,,475.0
,Gold,Solid Wood,Solid,Davison Guitars,,Gold,Used,,,,Left-Handed,,,,,F9880B LH GLD 2ND T63,F9880B LH GLD 2ND T63,,,,,,,,,,,,,,6 String,,,Does not apply,,158.7
,,,,RAS Guitar Kits,,,Material,,,,,,,,,STL 01 2B Kit,,,,,,,,,,,,,,,,,DIY Project Kit,Does not apply,,119.99
,,,,Fender,,,New,,,,,,,,,0145233581,,,,,,,,,,,,,,,,,,885978256419,,699.99
,,,Solid - LP,Oscar Schmidt,,,New,,,,,,,,,Does Not Apply,OE20,,,,,,,,,,,,Full Size,,6 String,,,,,209.99
,Black Fade,,Solid,ESP,,,New,,,,Right-Handed,,,,,LMH1007QMBLKFD,MH-1007,,,,,,,ESP LTD,,,,,,,7 String,,,does not apply,,1099.0
,,,Solid,Gibson,,,Used,,,,,,,,,,SG Special,,,,,,,Gibson SG,,Right-Handed,,,,,6 String,,,Does not apply,,2199.99
,,,,Donner,,,New,,,,,Volume Knob,,,,Does Not Apply,DST-1B,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,124.99
,Brown,,Solid,Unbranded,,,Used,,,,,"Volume Knob, With Pickup",,,,,,,,,,,,,,Right-Handed,,,Full Size,Flat Top,6 String,,,,,213.5
,White,,,Unbranded,,,New,,China,,,,,,,Does Not Apply,,,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,82.0
,Custom Graphic,Basswood,Solid,Ibanez,,,Used,,,,,,,,,,RG Tremolo RG370DX,,,,,,,Ibanez RG,,,,,,,6 String,,,,,329.0
,Brown Wood Grain Top,,Solid,Gibson,,,Used,,,,,,,,,SGJ,SG Limted Run,2014,,,,,,Gibson SG,,Right-Handed,,,,,6 String,,,,,599.0
,Transparent Black,Maple,Solid,Epiphone,,,Used,,,,,,,,,,Les Paul 2010 Tribute,2010,,,,,,Epiphone Les Paul,,Right-Handed,,,Full Size,,6 String,,,,,370.0
,Teal,,,Ibanez,,,Used,,,,,,,,,,,,,,,,,Ibanez RG,,Right-Handed,,,,,6 String,,,,,275.0
,White,,Solid,Ibanez,,,Used,,,,,,,,,Does Not Apply,Gio,,,,,,,Ibanez RG,,Right-Handed,,,,,6 String,,,,,112.5
,,,Solid,Fender,,,Used,,,,,,,,,,,,,,,,,Fender Stratocaster,,,,,,,6 String,,,,,235.0
,Triburst,Mahogany,Solid,Vox,,,Used,,Italy,,,,,,,,Mark XII with tremolo tailpiece,,,,,,,,,,,,Full Size,,12 String,,,,,1325.0
,Black,,Solid,Fender,,,Used,,,,,Volume Knob,,,,Does Not Apply,,,,,,,,Fender Stratocaster,,Right-Handed,,,,,6 String,,Midi Guitar,,,102.5
,Black,Mahogany,Solid,PRS,,,Used,,"Korea, Republic of",,,,,,,,PRS Santana SE,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,,,329.0
,White,,,Fender,,,Used,,United States,,,,,,,,Stratocaster Delux,2006,,,,,,,,,,,,,6 String,,,,,1150.0
,Silver,Mahogany,Solid,Epiphone,,,Used,,,,,,,,,,,,,,,,,Epiphone Les Paul Custom Pro,,Right-Handed,,,,,6 String,,,,,500.0
,Red Desert,,Solid,Ibanez,,,Used,,Indonesia,,,"kill switch, Dimarzio pick-ups, Dimarzio volume pot",,,,,RG920QMZ,,,,,,,Ibanez RG,,Right-Handed,,,,,6 String,,,,,480.0
,,,Semi-Hollow,Epiphone,,,Used,,,,,,,,,,,,,,,,,,,Right-Handed,,,,,6 String,,,,,245.0
,Satin Black,Alder,Solid,Schecter,,,New,,,No,,"Volume Knob, 3-Way",,,,DL-MNST-SCHECTER-PT-GUITAR-MONSTER-VAULT-ENERGY,PT,2019,,No,,,,Schecter Diamond Series,,Right-Handed,,,,,6 String,,,0815447023457,,183.5
,Green,,Solid,ESP,,,Used,,,,,,,,,,M-330R-FM,,,,,,,ESP LTD,,Right-Handed,,,Full Size,,6 String,,,,,227.5
,Black,,Solid,Gretsch,,,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or 

																			protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,China,,,,,,,Does Not Apply,Electromatic,,,,,,,Gretsch Electromatic,,Right-Handed,,,Full Size,Rosewood,6 String,,,Does not apply,,248.5
,,,Solid,Gibson,,,Used,,United States,,,"Built-in Effects, Single Cut, Volume Knob, With Pickup",,,,,Les Paul Standard,2013,,No,,,,Gibson Les Paul,,Right-Handed,,,Full Size,,6 String,,,,,2953.0
,Gold,,Solid,Hamer,,,Used,,China,,,,,,,,XT Series Gold Top,,,,,,,XT Series,,Right-Handed,,,,,6 String,,,,,200.0
,,,,Fender,,,Used,,,,,,,,,Does Not Apply,,,,,,,,Fender Stratocaster,,,,,,,,,,,,431.88
,,,Solid,Ibanez,,,Used,,"Korea, Republic of",,,,,,,Does Not Apply,S470,,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,260.0
,Desert Sand,,Solid,Fender,,,Used,,,,,,,,,Duo Sonic,Duo Sonic,,,,,,,,,Right-Handed,,,,,6 String,,,,,1492.99
,Black,,Solid,Lotus,,,Used,,Japan,,,,,,,,Stiletto,80’s,,,,,,,,,,,,,6 String,,,,,325.0
,Vintage violin lacquer finish,,"16 x 2.27"" Jazz",Eastman,,,Used,,,,,,,,,,,unknown,,,,,,,,,,,16 x 2.75 inches,,6 String,,,,,1150.0
,,,Solid,Epiphone,,,Used,,,,,,,,,,SG Special,,,,,,,,,Right-Handed,,,,,6 String,,,,,103.5
,Candy Apple Red,,Solid,Fender,,,Used,,Indonesia,,,,,,,Does Not Apply,Stratocaster,,,No,,,,,,Right-Handed,,,Full Size,,6 String,,,,,415.0
,zebra,Solid Wood,Solid,Maestro,,,Used,,"Korea, Republic of",,Right-Handed,,,,,Does Not Apply,G550,2018,,,,,,,,,,,Full Size,,6 String,,,Does not apply,,165.0
,,Rosewood,Flamenco,Cordoba,,,,,,,,,,,,GK Studio Negra,GKS N,,,,,,,,,,,Iberia,,,6 String,,,Does not apply,,450.0
,,,Solid,Washburn,,,Used,,,,,,,,,,,,,,,,,,,Right-Handed,,,,,6 String,,,,,1350.0
,Brown,Mahogany,Solid,Ibanez,,,New,,Japan,,,With Pickup,,,,Does Not Apply,SG,pre-1975,,Yes,,,,,,Right-Handed,,,Full Size,Flat Top,6 String,,,Does not apply,,311.0
,Natural,,Semi-Hollow,Fender,,,Used,,United States,,,,,,,Does Not Apply,Telecaster Thinline,2019,,,,,,Fender Telecaster,,Right-Handed,,,,,6 String,,,,,1299.0
,Penny,,Solid,Fender,,,Used,,United States,No,,,,,,Does Not Apply,American Performer Stratocaster,2019,,No,,No,,American Performer,,Right-Handed,,,,,6 String,,,,,755.0
,White,,Solid,Squier,,,Used,,Indonesia,,,,,,,,Vintage Modified Jazzmaster,2015,,,,,,Fender Jazzmaster,,Right-Handed,,,Full Size,,6 String,,,,,176.66
,Black,,Semi-Hollow,Epiphone,,,Used,,"Korea, Republic of",,,,,,,Does Not Apply,Sheraton-II,,,,,,,,,Right-Handed,,,Full Size,Rosewood,6 String,,,Does not apply,,409.0
,White,Sen,Solid,Greco,,,Used,,,,,,,,,,SE 500,,,,,,,,,,,,,,6 String,,,,,500.0
,Black,,Solid,Kenneth,,,New,,,,,,,,,Does Not Apply,9733,,,,,,,,,,,,,,6 String,,,Does not apply,,109.0
,3-Tone Sumburst,,Solid,Fender,,,Used,,Japan,,,,,,,Does Not Apply,Squier Jagmaster Vista Series,1997,,,,,,,,Right-Handed,,,,,6 String,,,,,430.0
,Black,,Solid,Fender,,,Used,,,,,"Volume Knob, With Pickup",,,,Does Not Apply,Stratocaster made in USA,2005,,Yes,,,,Fender Stratocaster,,Right-Handed,,,Full Size,Flat Top,6 String,,,Does not apply,,885.0
,3 color,,Solid,Schecter,,,Used,,"Korea, Republic of",No,,,,,,Does Not Apply,Hellcat,,,No,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,202.5
,Antique White,,Solid,PAUL REED SMITH,,,Used,,United States,,,,,,,Does Not Apply,S2 Custom 24,2014,,No,,,,PRS S2 Custom 24,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,899.99
,Yellow,,Solid,Indiana,,,Used,,Indonesia,,,,,,,Does Not Apply,69 Telecaster,,,,,,,,,Right-Handed,,,Full Size,Maple,6 String,,,Does not apply,,66.0
,Natural,,Solid,Lotus,,,Used,,"Korea, Republic of",,,,,,,,,"1970""s",,,,,,,,Right-Handed,,,,,6 String,,,,,125.0
,Wine Red,Maple,Solid,Gibson USA,,,New,,United States,,,Never Played,,,,,Les Paul Studio,1994 - Centennial Anniversary,,,,,,Gibson Guitars USA,,Right-Handed,,,Full Size,Flat Top,6 String,,,,,1150.0
,Black,,,Music Man,,,Used,,,,,,,,,,John Petrucci 6,,,,,,,,,,,,,,6 String,,,,,1400.0
,Penny,,,Fender,,,Used,,United States,,,,,,,Does Not Apply,American Performer Telecaster,2019,,,,,,Fender Telecaster,,Right-Handed,,,,,6 String,,,,,755.0
,Tobacco Burst,"Mahogany, Maple, Rosewood",Solid,PRS,,,Used,,,,,,,,,,McCarty,2015,,,,,,PRS McCarty,,Right-Handed,,,Full Size,Archtop,6 String,,,,,1999.0
,Red,,Solid,Ivy- IBM-200 TRD Brian May,,,Used,,,,,,,,,,,,,,,,,American Standard,,Right-Handed,,,Full Size,,6 String,,,,,160.0
